name,num_rows,num_cols,nnz,avg_nnz_per_row,min_nnz_per_row,max_nnz_per_row,std_dev_nnz_per_row,avg_nnz_density_per_row,min_nnz_density_per_row,max_nnz_density_per_row,std_dev_nnz_density_per_row,K,best_num_partitions,best_max_bucket_width,exe_time_hyb,exe_time_naive,speed_to_naive
ex2,441,441,26839,60.859410430839006,28,125,25.591651285632665,0.1380031982558707,0.0634920634920634,0.2834467120181406,0.0580309552962192,256,2,16,0.0133734,0.018698,1.39815
ex2,441,441,26839,60.859410430839006,28,125,25.591651285632665,0.1380031982558707,0.0634920634920634,0.2834467120181406,0.0580309552962192,512,2,16,0.0207974,0.024801,1.1925
gre_1107,1107,1107,5664,5.116531165311653,2,7,1.402658296881037,0.0046219793724585,0.001806684733514,0.006323396567299,0.0012670806656558,32,1,2,0.00638976,0.006564,1.02727
gre_1107,1107,1107,5664,5.116531165311653,2,7,1.402658296881037,0.0046219793724585,0.001806684733514,0.006323396567299,0.0012670806656558,64,1,2,0.00656384,0.006605,1.00627
gre_1107,1107,1107,5664,5.116531165311653,2,7,1.402658296881037,0.0046219793724585,0.001806684733514,0.006323396567299,0.0012670806656558,128,1,4,0.00768,0.007711,1.00404
gre_1107,1107,1107,5664,5.116531165311653,2,7,1.402658296881037,0.0046219793724585,0.001806684733514,0.006323396567299,0.0012670806656558,256,1,4,0.0100454,0.009134,0.909272
gre_1107,1107,1107,5664,5.116531165311653,2,7,1.402658296881037,0.0046219793724585,0.001806684733514,0.006323396567299,0.0012670806656558,512,1,8,0.0144486,0.013046,0.902925
adder_dcop_09,1813,1813,11239,6.1991174848317705,1,1310,30.77712991234668,0.0034192595062502,0.0005515719801434,0.7225592939878654,0.0169758024888839,32,1,8,0.00764928,0.074998,9.80458
adder_dcop_09,1813,1813,11239,6.1991174848317705,1,1310,30.77712991234668,0.0034192595062502,0.0005515719801434,0.7225592939878654,0.0169758024888839,64,1,4,0.0108646,0.118221,10.8813
adder_dcop_09,1813,1813,11239,6.1991174848317705,1,1310,30.77712991234668,0.0034192595062502,0.0005515719801434,0.7225592939878654,0.0169758024888839,128,1,8,0.0112026,0.119542,10.6709
adder_dcop_09,1813,1813,11239,6.1991174848317705,1,1310,30.77712991234668,0.0034192595062502,0.0005515719801434,0.7225592939878654,0.0169758024888839,256,1,8,0.0148685,0.118641,7.97935
adder_dcop_09,1813,1813,11239,6.1991174848317705,1,1310,30.77712991234668,0.0034192595062502,0.0005515719801434,0.7225592939878654,0.0169758024888839,512,1,8,0.02304,0.151951,6.5951
Trec14,3159,15905,2872265,909.2323520101298,6,1837,352.3765528920087,0.0571664477843527,0.0003772398616787,0.1154982709839673,0.0221550803453007,32,1,32,inf,inf,nan
Trec14,3159,15905,2872265,909.2323520101298,6,1837,352.3765528920087,0.0571664477843527,0.0003772398616787,0.1154982709839673,0.0221550803453007,64,1,32,inf,inf,nan
Trec14,3159,15905,2872265,909.2323520101298,6,1837,352.3765528920087,0.0571664477843527,0.0003772398616787,0.1154982709839673,0.0221550803453007,128,1,32,inf,inf,nan
Trec14,3159,15905,2872265,909.2323520101298,6,1837,352.3765528920087,0.0571664477843527,0.0003772398616787,0.1154982709839673,0.0221550803453007,256,1,32,inf,inf,nan
Trec14,3159,15905,2872265,909.2323520101298,6,1837,352.3765528920087,0.0571664477843527,0.0003772398616787,0.1154982709839673,0.0221550803453007,512,1,32,inf,inf,nan
cdde4,961,961,4681,4.870967741935484,3,5,0.3474299875570648,0.0050686448927528,0.0031217481789802,0.0052029136316337,0.0003615296436597,32,1,2,0.0061952,0.006554,1.05792
cdde4,961,961,4681,4.870967741935484,3,5,0.3474299875570648,0.0050686448927528,0.0031217481789802,0.0052029136316337,0.0003615296436597,64,1,4,0.00623616,0.006533,1.0476
cdde4,961,961,4681,4.870967741935484,3,5,0.3474299875570648,0.0050686448927528,0.0031217481789802,0.0052029136316337,0.0003615296436597,128,1,4,0.00695296,0.007352,1.05739
